Timestamp,Class Period,"Participant ID (4 digits e.g. 7000, 7001)",Trial Number,Male or Female,Hand: Left (L) or Right (R),Hand: D for (Dominant - the one you write with) OR N (Non-Dominant),Distance (cm OR drop),age-range,Time (s)
,7-101,9005,5,f,l,n,13,child,
,7-101,9006,1,f,r,d,10,child,
,7-101,9007,1,f,r,d,21,child,
,7-101,9006,2,f,r,d,3,child,
,7-101,9007,2,f,r,d,13,child,
,7-101,9006,1,f,l,n,21,child,
,7-101,9007,1,f,l,n,19,child,
,7-101,9006,2,f,l,n,27,child,
,7-101,9007,2,f,l,n,17,child,
,7-101,9006,3,f,r,d,29,child,
,7-101,9007,3,f,r,d,9,child,
,7-101,9006,4,f,r,d,5,child,
,7-101,9007,4,f,r,d,16,child,
,7-101,9006,5,f,r,d,14,child,
,7-101,9007,5,f,r,d,7,child,
,7-101,9006,6,f,r,d,8,child,
,7-101,9007,6,f,r,d,16,child,
,7-101,9006,7,f,r,d,16,child,
,7-101,9007,7,f,r,d,12,child,
,7-101,9006,8,f,r,d,16,child,
,7-101,9007,8,f,r,d,20,child,
,7-101,9008,1,f,r,d,10,child,
,7-101,9008,2,f,r,d,17,child,
,7-101,9008,3,f,r,d,14,child,
,7-101,9008,4,f,r,d,3,child,
,7-101,9008,5,f,r,d,25,child,
,7-101,9008,1,f,l,n,25,child,
,7-101,9008,2,f,l,n,24,child,
,7-101,9008,3,f,l,n,15,child,
,7-101,9008,4,f,l,n,2,child,
,7-101,9008,5,f,l,n,28,child,
,7-101,9009,1,f,r,d,15,child,
,7-101,9009,2,f,r,d,18,child,
,7-101,9009,3,f,r,d,26,child,
,7-101,9009,4,f,r,d,6,child,
,7-101,9009,5,f,r,d,4,child,
,7-101,9009,1,f,l,n,22,child,
,7-101,9009,2,f,l,n,16,child,
,7-101,9009,3,f,l,n,2,child,
,7-101,9009,4,f,l,n,12,child,
,7-101,9009,5,f,l,n,4,child,
,8-102,9029,1,m,l,d,7,child,
,8-102,9029,2,m,l,d,15,child,
,8-102,9029,3,m,l,d,25,child,
,8-102,9029,4,m,l,d,12,child,
,8-102,9029,5,m,l,d,14,child,
,8-102,9029,1,m,r,n,21,child,
,8-102,9029,2,m,r,n,26,child,
,8-102,9029,3,m,r,n,9,child,
,8-102,9029,4,m,r,n,14,child,
,8-102,9029,5,m,r,n,9,child,
,8-102,9030,1,m,r,d,27,child,
,8-102,9030,2,m,r,d,22,child,
,8-102,9030,3,m,r,d,25,child,
,8-102,9030,4,m,r,d,21,child,
,8-102,9030,5,m,r,d,24,child,
,8-102,9030,1,m,l,n,20,child,
,8-102,9030,2,m,l,n,18,child,
,8-102,9030,3,m,l,n,13,child,
,8-102,9030,4,m,l,n,1,child,
,8-102,9030,5,m,l,n,1,child,
,8-102,9031,1,f,r,d,16,child,
,8-102,9031,2,f,r,d,18,child,
,8-102,9031,3,f,r,d,16,child,
,8-102,9031,4,f,r,d,16,child,
,8-102,9031,5,f,r,d,18,child,
,8-102,9031,1,f,l,n,11,child,
,8-102,9031,2,f,l,n,11,child,
,8-102,9031,3,f,l,n,13,child,
,8-102,9031,4,f,l,n,14,child,
